x(nm),y(nm),z(nm),cluster label (-1 is noise)
12517.62,22767.04,76.97587,1
12515.07,22765.21,82.27858,1
12516.89,22762.46,82.57964,7
12518.42,22767.73,79.96717,1
12518.87,22767.34,72.63824,1
12521.87,22769.95,103.8073,7
12481.23,22753.22,89.8791,2
12481.49,22758.91,103.1278,3
12483,22760.76,97.73633,2
12483.95,22703.38,85.64855,-1
12474.94,22697.95,116.4909,5
12463.86,22743.56,41.54008,-1
12454.58,22744.76,34.3482,-1
12477.7,22760.37,86.16838,2
12477,22753.85,65.72501,2
12476.56,22757.71,131.4098,-1
12482.27,22759.63,81.44381,2
12481.65,22759.67,81.74578,2
12482.01,22760.29,69.55054,2
12480.03,22761.67,85.13418,2
12462.18,22740.71,60.203,4
12460.43,22741.23,36.66301,-1
12462.81,22738.42,69.52904,4
12467.8,22749.45,88.99712,-1
12466.37,22742.16,51.23463,4
12475.9,22747.53,33.88679,-1
12480.14,22749.65,66.18214,2
12487.94,22751.02,96.81765,-1
12483.79,22759.41,94.2421,2
12480.28,22756.71,90.6884,2
12475.79,22704.4,102.481,5
12476.59,22705.59,119.9543,5
12477.03,22702.05,108.087,5
12471.63,22702.97,74.48879,-1
12477.18,22705.61,79.19337,6
12477.39,22703.16,99.30531,5
12477.69,22699.49,99.51202,5
12476.66,22699.36,92.85507,5
12476.05,22699.55,80.27707,6
12477.15,22701.31,96.78684,5
12474.56,22705.57,103.2414,5
12475.25,22709.57,84.33415,6
12470.67,22704.95,87.97319,6
12475.67,22704.48,98.14545,5
12475.47,22704.95,100.9568,5
12493.56,22750.01,56.1938,-1
12492.67,22754.41,58.124,-1
12484.64,22753.05,72.06775,2
12489.89,22756.62,79.58179,2
12483.57,22758.41,88.20827,2
12484.51,22754.74,81.13522,2
12486.64,22748.68,111.9834,-1
12473.48,22717.83,236.697,-1
12479.03,22713.2,251.7712,-1
12486.05,22753.21,76.30721,2
12484.23,22749.54,79.72299,2
12481.02,22759.25,59.2205,-1
12460.36,22741.99,50.15754,4
12482.64,22753.04,86.02077,2
12477.49,22751.94,57.00375,-1
12480.78,22752.58,68.05299,2
12480.15,22757.76,67.93468,2
12486.34,22754.85,82.25659,2
12480.95,22758.68,87.81468,2
12483.63,22761.57,74.13202,2
12478.94,22758.62,86.96845,2
12484.06,22754.13,81.63705,2
12460.15,22748.59,90.57915,-1
12464.71,22739.4,50.82188,4
12461.95,22739.97,47.769,4
12464.23,22740.17,58.48037,4
12460.32,22738.58,53.93604,4
12462.04,22740.05,48.02304,4
12461.36,22738.17,52.5182,4
12452.96,22739.97,57.67435,-1
12460.99,22741.84,47.77514,4
12459.43,22746.77,51.44359,4
12457.82,22745.29,56.36892,4
12477.72,22749.29,91.71895,2
12473.75,22765.77,73.94813,-1
12474.12,22705.3,121.2676,5
12478.13,22702.77,105.277,5
12480.42,22702.59,110.0648,5
12480.51,22702.47,109.3739,5
12448.92,22758.28,73.68105,-1
12490.45,22761.27,43.92985,-1
12494.51,22759.87,87.12894,2
12476.32,22758.54,96.54288,2
12456.84,22738.14,95.7533,-1
12464.36,22740.04,66.6487,4
12465.11,22736.07,43.96198,4
12460.63,22743.11,49.4957,4
12462.87,22741.67,62.94171,4
12465.66,22741.15,61.29086,4
12459.97,22737.03,51.577,4
12465.85,22740.58,58.6963,4
12465.95,22746.55,75.16514,-1
12464.23,22740.89,62.05383,4
12463.06,22743,54.66592,4
12462.42,22738.43,52.18406,4
12464.1,22742.47,68.56548,4
12461.06,22733.49,64.41931,4
12525.88,22763.05,87.49696,7
12465.95,22741.57,50.88929,4
12462.34,22746.12,61.25597,4
12481.74,22715.81,74.00962,-1
12466.48,22736.36,68.10752,4
12462.24,22741.19,62.76445,4
12466.41,22731.2,41.53159,4
12462.49,22730.14,67.97742,4
12484.11,22747.42,64.22034,2
12489.04,22748.98,67.39742,2
12484.25,22754.96,85.43156,2
12488.29,22754.56,94.99445,2
12477.73,22757.09,81.51397,2
12483.63,22756.88,99.94736,3
12482.04,22757.37,89.39105,2
12443.14,22751.44,51.81907,-1
12464.39,22740.45,46.97672,4
12462.63,22744.79,50.21916,4
12460.8,22741.02,59.54421,4
12461.67,22744.13,49.00289,4
12478.36,22691.92,59.49278,-1
12461.12,22736.27,66.96473,4
12485.33,22751.08,57.83304,-1
12485.29,22757.99,53.58868,-1
12521.23,22758.18,70.75558,-1
12513.79,22775.44,65.97932,-1
12519.59,22767.89,120.0258,-1
12517.2,22768.03,90.97651,7
12518.71,22766.57,94.12131,7
12522.19,22763.47,98.13035,7
12522.49,22767.09,67.82375,1
12517.19,22767.24,72.8612,1
12518.88,22767.78,98.40895,7
12521.79,22767.36,88.65128,7
12516.53,22769.63,101.8541,7
12520.54,22768.6,84.59948,1
12517.57,22769.11,103.2058,7
12515.8,22768.33,99.83006,7
12517.9,22766.11,93.04075,7
12516.82,22767.09,112.656,-1
12481.17,22702.9,248.7686,-1
12489.41,22734.38,81.33152,-1
12479.42,22762.34,116.1721,-1
12487.92,22756.63,83.07622,2
12483.51,22757.5,91.22238,2
12499.98,22760.94,111.9924,-1
12489.42,22755.3,85.19181,2
12471.98,22701.94,88.41824,6
12475.15,22709.14,113.4922,5
12470.34,22708.3,120.1986,5
12476.65,22704.93,87.61737,6
12479.72,22737.12,81.34046,-1
12482.65,22754.32,113.0053,-1
12484.18,22754.54,93.64539,2
12474.9,22764.72,73.0146,2
12463.45,22734.16,52.32743,4
12461.55,22734.85,67.12292,4
12462.22,22734.06,42.02459,4
12486.7,22748.8,87.03627,2
12490.45,22758.23,83.37213,2
12497.82,22727.53,85.00034,-1
12463.31,22743.12,67.80175,4
12483.52,22758.18,91.62641,2
12467.54,22741.72,40.40077,-1
12465.17,22739.31,56.52464,4
12462.62,22735.34,63.99399,4
12477.72,22703.63,111.8335,5
12473.29,22703.51,101.1361,5
12471.49,22706.85,88.09286,6
12461.39,22737.61,53.33545,4
12453.44,22719.73,126.4874,-1
12527.28,22764.47,94.86381,7
12526.82,22767.47,89.50886,7
12476.57,22704.03,82.10516,6
12469.71,22706.61,104.0288,5
12476.68,22710.97,83.98293,-1
12482.65,22701.21,87.01704,-1
12493.24,22753.17,79.51773,2
12484.46,22755.38,112.7605,-1
12465.13,22733.38,76.12895,4
12462.83,22735.11,72.67902,4
12465.79,22735.99,53.44877,4
12465.67,22734.82,56.11132,4
12466.18,22735.49,66.3122,4
12465.87,22739,77.92862,4
12467.28,22737.22,57.19456,4
12493.19,22759.36,95.39363,-1
12479.46,22693.27,113.5304,-1
12477.18,22696.85,96.0519,5
12478.42,22702.38,97.02246,5
12479.21,22692.99,88.17201,-1
12479.04,22701.27,100.3434,5
12481.19,22698.37,95.38352,5
12483.89,22694.98,96.60454,5
12473.59,22713.26,103.7217,-1
12478.99,22702.25,101.0491,5
12479.51,22694.75,100.266,5
12483.92,22695.57,92.54078,5
12479.49,22699.71,116.7819,5
12482.69,22702.77,113.1959,5
