x(nm),y(nm),z(nm),cluster label (-1 is noise)
25535.16,22405.82,-13.03785,1
25527.82,22439,-16.16226,2
25533.53,22432.89,-13.17613,2
25535.81,22436.88,-29.23281,-1
25513.94,22452.41,3.671051,2
25513.32,22455.72,-21.27139,2
25518.77,22429.67,-26.23934,2
25551.83,22362.4,-27.21426,3
25547.83,22363.09,-10.74387,3
25548.26,22365.24,-13.82716,3
25548.37,22364.39,-2.181277,3
25547.92,22363.57,-29.74924,3
25551.9,22363.16,-24.02148,3
25612.85,22416.42,183.8215,-1
25610.2,22430.96,44.61784,-1
25531.89,22438.3,-5.550605,2
25535.19,22434.89,-10.95112,2
25526.28,22438.69,-43.98717,-1
25528.52,22433.89,-8.022159,2
25525.69,22434.61,-33.95839,2
25527.68,22438.76,-7.369442,2
25527.54,22426.8,-24.24246,2
25525.6,22428.8,-11.80165,2
25528.11,22433.3,-26.60711,2
25536.5,22431.63,-14.56376,2
25585.64,22396.55,-2.128848,4
25551.75,22362.88,-57.43969,8
25556.49,22367.42,-22.59996,3
25547.15,22361.82,-52.65143,8
25525.89,22434.61,-18.43769,2
25528.05,22438.48,-18.24382,2
25530.52,22429.29,-17.87844,2
25534.86,22434.37,-22.42926,2
25531.69,22421.03,15.59394,-1
25541.06,22415.44,16.07467,5
25557.44,22359.33,-20.49536,3
25556.05,22371.19,-28.26944,3
25564.83,22379.17,17.12479,4
25569.39,22385.78,17.37041,4
25576.31,22388.6,23.1853,4
25573.36,22381.97,19.40408,4
25566.39,22382.74,19.40738,4
25557.54,22364.06,-7.356796,3
25569.9,22381.36,4.342331,4
25549.56,22413.37,-25.25205,-1
25543.8,22407.55,-18.69679,9
25579.22,22386.71,7.16391,4
25544.67,22410.6,13.78933,5
25551.26,22368.29,-27.20587,3
25486.22,22435.92,-40.33319,6
25486.33,22436.91,-25.22721,6
25549.96,22406.93,-15.32765,9
25604.47,22405.13,-30.22604,-1
25588.11,22397.67,-21.37648,4
25549.36,22364.38,-32.03492,3
25553.7,22364.7,-41.06156,8
25556.02,22364.14,-10.5184,3
25560.65,22362.44,-21.98923,3
25556.46,22360,-21.08204,3
25537.94,22437.08,0.8520959,2
25506.48,22433.24,-97.29541,-1
25515.6,22439.43,-75.77274,-1
25590.8,22395.51,-18.78,4
25542.91,22411.38,-17.90649,9
25549.92,22415.07,-1.995074,7
25533.41,22436.84,-44.65389,-1
25593.8,22400.72,1.386909,4
25590.68,22397.84,-26.27899,4
25544.86,22407.65,5.420061,5
25571.13,22381.03,12.4982,4
25572.85,22388.6,7.302526,4
25576.14,22385.09,12.43988,4
25575.76,22384.29,10.92261,4
25576.22,22383.07,22.3131,4
25518.04,22448.97,4.876763,2
25519.58,22451.73,-21.13616,2
25515.17,22448.23,-40.44544,-1
25481.56,22439.99,-46.37578,-1
25484.05,22435.11,-35.24411,6
25565.97,22393.63,10.65106,-1
25545.71,22364.44,-72.83075,-1
25545.55,22371.09,-89.6596,-1
25542.47,22405.72,28.40322,-1
25514.49,22450.92,-44.06834,-1
25528.78,22465.81,24.30879,-1
25531.65,22439.6,0.384785,2
25529.66,22431.38,16.86565,2
25588.1,22397.7,-38.5552,4
25582.83,22384.84,32.49805,-1
25589.87,22399.04,-25.39783,4
25512.53,22446.69,-29.57953,2
25486.94,22439.65,-33.62023,6
25593.08,22390.71,-26.67889,4
25515.17,22451.29,-9.285229,2
25520.41,22455.59,-14.12666,2
25519.53,22448.85,-22.1586,2
25519.33,22449.19,-23.27377,2
25515.38,22449.76,-10.96983,2
25514.3,22449.89,-7.709711,2
25517.25,22449.6,-11.46764,2
25522.85,22454.95,-26.87003,2
25521.52,22449.59,2.790873,2
25522.21,22456.24,-35.431,-1
25555.14,22367.86,-50.83441,8
25548.57,22364.98,-51.76792,8
25524.18,22458.54,-46.3685,-1
25549.24,22360.08,-70.45792,-1
25552.48,22363.53,-47.23423,8
25558.48,22364.15,-14.46759,3
25555.07,22366.19,-0.5778518,3
25554.14,22360.02,-32.98844,3
25553.09,22364.22,-26.9669,3
25580.5,22392.13,14.31158,4
25457.29,22439.3,-145.9055,-1
25593.32,22404.17,-64.36964,-1
25595.51,22395.44,1.138301,4
25452.5,22436.65,-224.8372,-1
25569.59,22409.86,-130.7916,-1
25513.7,22459.48,-12.72741,2
25546.01,22411.56,11.06833,5
25540.3,22408.83,-3.282832,10
25585.43,22395.4,-19.12758,4
25548.89,22415.83,-7.656875,7
25563.98,22407.62,-9.07955,-1
25578.84,22384.3,23.04582,4
25547.74,22368.95,-22.55284,3
25554.23,22362.34,-27.04622,3
25552.56,22367.85,-10.81636,3
25556.47,22366.01,-31.07564,3
25528.39,22451.02,-24.87134,2
25517.05,22453.61,-8.866405,2
25525.04,22440.53,-38.19094,-1
25530.47,22448,18.48449,-1
25489.64,22438.38,-41.58689,6
25486.47,22437.27,-50.99794,-1
25592.62,22398.58,-35.75328,4
25591.33,22399.85,-30.25987,4
25574.43,22376.92,100.9109,-1
25509.4,22451.35,-15.63856,2
25517.92,22453.88,-16.46841,2
25524.84,22451.14,-22.96769,2
25518.84,22451.32,-13.49606,2
25524.85,22443.33,-23.53634,2
25561.48,22366.21,29.16954,11
25490.9,22421.87,-18.37338,-1
25563.55,22367.96,-14.67317,3
25556.96,22368.56,-26.99628,3
25562.23,22362.68,-15.42469,3
25521.08,22449.8,-24.76812,2
25526.83,22455.73,-32.01331,2
25538.93,22431.81,-10.38816,2
25506.12,22410.19,96.95195,-1
25481.43,22440.26,-30.64934,6
25483.95,22434.19,-18.76772,6
25481.57,22439.4,-49.20232,-1
25479.02,22440.63,-78.9647,-1
25546.65,22407.95,-16.58613,9
25544.92,22406.53,14.88952,5
25544.19,22406.77,-1.020408,10
25541.24,22408.21,-5.74089,10
25585.9,22397.32,10.41519,4
25590.94,22397.89,-27.25723,4
25590.68,22399.93,-26.24675,4
25538.31,22438.71,-20.07833,2
25534.02,22435.17,-12.80012,2
25540.96,22436.06,-18.67256,2
25593.75,22385.9,10.94466,-1
25589.49,22396.18,-10.36487,4
25591.51,22398.12,-15.24286,4
25593.1,22405.88,-23.54863,4
25593.69,22396.73,-15.02932,4
25600.87,22402.99,-50.53522,-1
25590.27,22403.04,-26.50923,4
25592.64,22397.65,-44.68724,-1
25548.9,22416.13,-4.013802,7
25535.38,22412.83,-22.1093,-1
25529,22440.3,-23.05753,2
25530.69,22431.51,-16.29256,2
25544.09,22415.79,15.02425,5
25540.12,22414.7,1.575739,-1
25551.76,22361.86,-24.14299,3
25530.86,22442.8,14.41789,-1
25596.3,22400.46,-30.14699,4
25593.3,22393.39,-11.35624,4
25595.02,22398.9,-101.5253,-1
25573.77,22451.19,-47.84034,-1
25561.87,22454.76,-88.86204,-1
25483.2,22433.69,-15.72949,6
25483.23,22440.51,-34.28812,6
25556.09,22363.62,-9.272626,3
25485.65,22439.43,-27.09252,6
25485.23,22432.54,-27.42812,6
25520.18,22448.14,-22.92189,2
25518.77,22452.29,-21.70196,2
25516.35,22453.82,-11.98215,2
25513.93,22453.29,-30.76848,2
25511.94,22457.46,-11.8553,2
25516.38,22456.67,-4.569643,2
25534.83,22409.17,1.657186,-1
25486.83,22431.54,-34.48489,6
25482.74,22430.48,-18.67461,6
25536.4,22436.14,3.045998,2
25527.82,22434.22,-4.225923,2
25535.91,22432.81,-18.33321,2
25529.12,22436.56,-5.132224,2
25519.32,22428.94,-20.20155,2
25586.52,22395.21,-34.76722,4
25511.13,22443.8,-16.76736,2
25517.95,22453.3,-29.41594,2
25514.23,22449.38,-11.60939,2
25511.66,22449.07,-13.35243,2
25551.46,22365.32,-17.6259,3
25549.47,22365.45,-21.06448,3
25519.21,22451.91,1.217512,2
25481.45,22430.44,-36.44375,6
25532.58,22440.84,-8.651416,2
25588.58,22399.92,-24.2667,4
25523.95,22438.66,-19.81373,2
25584.26,22399.02,-32.59507,4
25590.56,22398.65,-22.97249,4
25591.91,22402.62,-21.21212,4
25573.08,22387.63,8.118952,4
25574.18,22387.29,14.12134,4
25585.28,22397.91,-19.57278,4
25584.56,22399.75,-6.101459,4
25597.64,22398.51,10.33964,4
25554.6,22361.74,-39.49742,3
25587.09,22394.56,-11.75653,4
25585.45,22396.91,-24.26994,4
25552.17,22353.13,-48.3824,-1
25585.14,22398.37,-8.34669,4
25583.71,22399.09,-7.072778,4
25585.48,22402.46,-21.48958,4
25586.96,22404.78,-2.363138,4
25601.52,22428.7,71.84657,-1
25521.17,22431.51,-23.90518,2
25522.96,22432.73,-5.664844,2
25521.51,22435.68,-2.136164,2
25485.18,22442.07,-23.35146,6
25483.55,22443.33,-36.26923,6
25481.27,22441.55,-25.63846,6
25474.18,22438.98,-23.27051,6
25518.62,22396.47,1.726122,-1
25524.53,22411.96,-86.09776,-1
25595.57,22392.94,-28.47924,4
25587.81,22396.05,-0.1381219,4
25585.12,22398.14,-26.43021,4
25593.32,22399.32,-7.309692,4
25586.88,22401.39,2.190796,4
25535.45,22404.65,-23.23866,-1
25570.21,22385.98,9.355303,4
25593.5,22396.03,-24.39525,4
