x(nm),y(nm),z(nm),cluster label (-1 is noise)
15263.48,15002.91,-22.87961,-1
15244.34,14999.01,-26.61949,1
15235.76,14998.94,4.108374,1
15257.59,14973.5,-22.23258,-1
15238.3,14999.04,3.350377,1
15182.77,14965.05,147.2368,-1
15241.27,14999.19,-6.009712,1
15244.58,15002.63,27.39318,-1
15244.98,15005.89,13.57855,1
15248.29,14929.32,-175.2976,-1
15201.72,14969.54,53.41495,-1
15209.51,14994.42,-5.099325,2
15219.09,14962.69,-55.90254,-1
15242.57,15000.46,-1.789238,1
15230.23,14999.4,177.8266,-1
15185.74,14998.16,-35.75676,-1
15184.66,14968.67,-5.102923,3
15178.23,14962.76,13.54788,3
15175.89,14962.34,-25.9838,-1
15176.49,14961.92,-0.7517227,3
15174.64,14959.87,-15.02397,3
15262.36,14982.93,-32.84103,4
15268.01,14982.44,-16.65353,4
15265.7,14981.02,-31.41736,4
15241.13,15009.17,-2.785211,1
15241.49,15002,-10.56017,1
15182.67,14971.36,9.866329,-1
15155.43,14927.68,-38.4182,5
15157.38,14922.79,-31.54097,5
15159.59,14927.64,-35.2401,5
15163.17,14927.02,-15.36382,6
15201.16,14978.46,2.718678,7
15258.63,15015.85,223.5976,-1
15241.66,14996.01,1.922469,1
15190.18,14981.29,6.996822,7
15258.03,14990.03,-18.79419,4
15269.77,14990.11,-13.56761,4
15246.21,15003.86,13.83205,1
15256.64,15005.03,59.9426,-1
15241.06,14997.48,36.9552,-1
15247.34,15002.09,37.68771,-1
15193.93,14978.25,5.504887,7
15197.59,14978.35,0.2779123,7
15205.35,14985.72,4.184005,8
15189.36,14979.35,85.44183,-1
15195.49,14978.25,-8.225053,7
15194.92,14982.94,6.127233,7
15199.05,14983.26,-6.471199,7
15160.63,14937.98,-29.99137,-1
15165.09,14916.98,-11.75764,-1
15161.81,14915.98,-5.895509,-1
15168.09,14916.54,-22.52042,-1
15159.32,14913.84,-25.75033,-1
15167.35,14922.31,-2.140284,-1
15249.88,15007.56,3.092584,-1
15242.21,15007.03,34.28911,-1
15240.17,15011.83,9.498058,1
15243.54,15017.75,64.10004,-1
15164.4,14954.14,71.96385,-1
15179.16,14963.84,5.203004,3
15172.57,14963.94,-7.64529,3
15174.17,14958.7,0.3876298,3
15167.83,14962.27,-17.00689,-1
15162.73,14963.33,8.065726,-1
15178.24,14966.28,-15.24874,3
15165.06,14930.85,-22.51967,6
15170,14930.9,-22.52055,6
15167.08,14922.69,-31.49194,-1
15258.68,14987.93,-3.081321,4
15255.18,14986.29,-27.43604,4
15176.92,14964.23,-3.688605,3
15178.98,14965.46,-2.123421,3
15203.99,14979.6,21.56498,-1
15203.62,14984.27,5.444509,8
15207.37,14986.14,9.462561,8
15256.6,14992.87,-11.08981,-1
15151.13,14962.5,-5.273133,9
15156.78,14969.35,-0.6206918,9
15158.58,14962.44,-24.11279,9
15158.29,14967.12,-7.841953,9
15143.16,14964.34,-2.619609,9
15232.9,14992.6,56.97019,-1
15236.77,14998.74,25.65346,-1
15145.08,14963.75,3.12551,9
15267.04,14986.98,-28.2086,4
15265.01,14980.98,-28.54508,4
15267.57,14980.11,-28.61141,4
15262.3,14984.85,11.69672,-1
15263.33,14984.04,-16.35574,4
15259.61,14983.57,-10.90593,4
15259.79,14980.05,-18.49466,4
15259.31,14978.84,-4.39013,4
15220.11,14983.63,19.52222,-1
15212.9,14991.12,-6.367013,2
15212.81,14992.75,-13.98349,2
15255.68,15001.02,10.38226,-1
15213.42,14992.03,38.30049,-1
15137.08,14922.28,226.7599,-1
15260.97,14979.46,-19.01122,4
15259.51,14980.42,-31.96409,4
15261,14978.64,-30.27114,4
15177.19,14963.67,-10.06711,3
15155.77,14928.77,-30.10983,5
15156.46,14926.35,-18.74424,6
15160.67,14923.07,-21.35862,6
15236.2,15006.62,-13.91564,1
15166.62,14921.39,-11.93874,6
15162.62,14921.11,-18.35201,6
15161.47,14924.78,-25.51392,6
15193.93,14979.04,-0.6740457,7
15213.37,14986.56,86.53589,-1
15241.41,14999.72,217.0792,-1
15237.48,15004.02,17.53124,1
15238.95,15008.17,15.63441,1
15239.34,15001.66,29.64777,-1
15231.03,15011.44,-43.88534,-1
15243.11,15010.61,15.81529,1
15206.03,14986.09,8.324011,8
15181.27,14955.83,113.214,-1
15259.89,14985.26,-22.6366,4
15262.77,14986.68,-15.30666,4
15263.36,14985.9,-24.66777,4
15256.96,14987.88,-18.63983,4
15259.61,14989.13,-3.920626,4
15260.79,14986.91,-31.74333,4
15259.18,14987.67,-27.12589,4
15265.05,14983.4,-31.14915,4
15176.14,14962.35,0.455734,3
15175.04,14959.8,-11.15733,3
15168.16,14971.8,-5.016954,3
15184.68,14967.39,-49.12551,-1
15231.55,14998.68,-6.961882,1
15237.78,15001.87,-10.22717,1
15241.05,14994.29,-8.319698,1
15243.78,14993.67,6.698153,1
15243.56,14992.34,5.64691,1
15236.81,14990.09,-1.457922,-1
15210.07,14979.57,-12.84405,2
15213.69,14984.8,-4.169788,2
15186.52,14939.83,-98.6386,-1
15149.89,14967.18,-28.12466,9
