x(nm),y(nm),z(nm),cluster label (-1 is noise)
10386.38,18777.78,20.15474,6
10387.87,18774.47,14.24346,6
10385.81,18773.47,-3.223503,-1
10384.06,18777.93,-4.31531,-1
10308.01,18774.88,40.3329,4
10310.41,18774.91,72.52537,4
10310.29,18779.76,45.30673,4
10313.53,18777.6,46.98001,4
10314.38,18776.93,44.49061,4
10314.76,18778.66,63.40908,4
10309.63,18777.1,45.4525,4
10315.15,18782.81,28.92105,4
10312.34,18777.99,52.4897,4
10317.69,18777.65,64.40681,4
10309.3,18779.58,80.94837,-1
10372.33,18762.51,49.98915,3
10367.36,18761.86,43.39114,3
10366.78,18759.88,37.08743,3
10365.52,18764.71,45.55623,3
10370.53,18761.52,47.12064,3
10371.44,18754.23,32.49309,3
10367.57,18755.37,42.64095,3
10363.65,18755.62,43.04024,3
10326.36,18760.19,33.56159,4
10380.46,18719.68,7.3337,2
10375.64,18711.76,8.917904,2
10367.49,18715.93,26.81787,2
10383.49,18721.2,16.20406,-1
10375.05,18716.94,21.04021,2
10377.26,18720.91,1.353402,-1
10325.76,18783.29,68.18445,-1
10312.03,18787.89,42.82114,4
10310.21,18779.64,26.31711,4
10312.33,18773.83,32.53425,4
10326.85,18779.95,43.80218,4
10376.73,18718.72,30.54951,2
10375.17,18718.76,30.12662,2
10373.14,18716.13,23.0651,2
10369.98,18712.37,2.759208,2
10371.78,18714.35,8.560668,2
10376.13,18712.82,20.08657,2
10376.38,18710.89,5.6666,2
10344.88,18733.33,31.63823,-1
10290.78,18773.15,16.40627,1
10287.15,18766.89,65.62651,-1
10276.13,18772.58,15.81258,1
10282.78,18770.86,23.18804,1
10281.49,18772.07,3.782033,1
10281.89,18771.22,26.3748,1
10285.78,18767.77,10.89661,1
10285.29,18770.13,12.59778,1
10372.76,18711.11,6.218244,2
10380.44,18705.86,-1.345985,2
10297.47,18705.49,-27.8791,-1
10325.5,18759.42,49.3715,4
10379.06,18759.97,-15.35231,-1
10383.57,18759.17,25.91642,-1
10388.5,18764.18,42.63018,8
10386.14,18777.16,34.00774,6
10387.84,18782.29,33.87995,6
10388.51,18780.75,26.48187,6
10383.79,18779.93,11.40083,6
10387.83,18776.78,11.51185,6
10390.27,18785.83,42.94817,-1
10388.86,18767.15,3.02406,6
10391.41,18773.86,28.24527,6
10307.28,18772.25,32.50255,4
10381.17,18722.95,72.8056,-1
10388.01,18780.02,32.45918,6
10390.92,18767,14.22498,6
10394.29,18766.58,30.68748,-1
10401.11,18769.75,23.35878,-1
10392.79,18768.5,19.67275,6
10388.1,18766.09,20.43126,6
10384.04,18744.21,59.67112,5
10387.73,18745.31,79.56393,5
10397.66,18756.04,86.99348,-1
10388.96,18737.94,41.84672,5
10377.47,18722.71,11.87449,-1
10368.57,18712.83,9.272176,2
10391.62,18773.12,22.50122,6
10400.66,18743.12,50.70014,5
10393.86,18737.67,52.70267,5
10397.41,18736.8,60.60803,5
10396.3,18741.79,74.93153,5
10367.04,18707.99,-2.657295,-1
10376.04,18707.45,14.9291,2
10309.65,18781.23,32.97067,4
10307.05,18774.19,40.71843,4
10371.75,18709.77,26.35152,2
10326.93,18773.3,24.71652,-1
10340.25,18767.96,1.83569,-1
10388.51,18739.61,41.77102,5
10392.28,18740.18,66.71252,5
10390.97,18740.89,50.73491,5
10393.65,18737.58,48.87263,5
10393.01,18740.53,71.27943,5
10311,18772.08,37.56315,4
10314.26,18772.82,43.45732,4
10308.92,18773.85,44.2071,4
10366.06,18698.08,-10.6931,-1
10374.72,18705.21,20.7525,2
10309.26,18774.44,38.0513,4
10359.38,18701.55,-1.908859,-1
10328.15,18767.58,57.26012,4
10314.23,18778.8,38.63746,4
10315.17,18779.67,53.35508,4
10315.86,18778.27,57.48638,4
10314.92,18779.41,39.95406,4
10389.03,18740.93,53.91441,5
10392.27,18736.46,52.67782,5
10389.96,18737.23,57.79119,5
10389.68,18750.57,80.50198,-1
10281.69,18767.26,-18.72617,-1
10285.43,18768.99,12.85804,1
10282.01,18767.28,10.7722,1
10288.72,18769.11,12.19611,1
10296.43,18772.91,16.92211,1
10284.27,18767.58,2.974297,1
10286.14,18767.92,10.80579,1
10294.07,18767.75,29.00497,-1
10310.99,18773.73,39.25801,4
10307.98,18815.71,143.267,-1
10295.1,18775.84,10.51099,1
10286.61,18765.93,15.87246,1
10282.66,18769.63,14.3177,1
10293.51,18764.01,12.84613,1
10287.89,18766.78,8.450924,1
10285.35,18764.05,18.12718,1
10398.68,18729.7,85.24042,-1
10394.75,18738.79,76.9351,5
10395.59,18734.93,69.03766,5
10387.65,18737.8,52.93742,5
10378.76,18708.52,5.801634,2
10378.55,18705.1,2.809289,2
10374.35,18709.03,29.30014,2
10373.77,18712.01,18.71508,2
10372.87,18702.04,17.40185,2
10376.55,18718.25,-14.71315,-1
10375.32,18713.83,10.80631,2
10390.29,18733.54,66.28426,5
10394.61,18740.46,74.3147,5
10393.06,18739.65,62.12708,5
10390.23,18744.82,64.91253,5
10390.96,18741.54,79.14887,5
10391.27,18741.85,50.96048,5
10394.25,18741.02,81.84183,5
10397.73,18738.52,47.2438,5
10394.44,18739.11,55.30414,5
10392.33,18733.18,67.70615,5
10392.38,18730.5,50.78106,5
10395.77,18739.28,68.18382,5
10390.07,18741.78,74.44228,5
10285.36,18768.69,22.65056,1
10284.04,18763.14,7.110486,1
10281.35,18764.57,0.5297302,1
10282.43,18769.62,5.491174,1
10387.5,18713.29,1.129138,-1
10378.08,18713.14,21.39106,2
10383.07,18716.68,28.1025,2
10365.45,18759.79,46.40545,3
10362.69,18757.28,59.11317,3
10366.02,18756.47,31.63943,3
10370.46,18754.88,47.3287,3
